INDEX,RFR,SVR,MLP,GRU,LSTM
200,42.39492992,36.35698413,19.46202087,55.34533739,47.71654034
201,26.72409487,24.914312,29.25978088,26.479599,30.21540451
202,39.59871811,32.22739767,21.00811615,50.31628885,50.91939678
203,29.23201365,22.29491046,13.68503952,23.65607452,24.84322166
204,17.86740839,12.86991787,11.15389252,19.44326782,4.56968307
205,26.80110999,18.05709246,22.22689819,0.16200256,3.94839096
206,7.833788567,11.59017993,5.06892187,13.48616964,16.53488333
207,7.011864035,7.868417513,0.83673172,0.8801033,2.40366287
208,1.189503053,3.021677419,1.97013855,2.82093048,0.6634407
209,4.26783706,5.921071475,2.66656113,6.96726227,5.55141068
210,19.50451939,12.33915142,15.73686218,11.38486862,9.49737549
211,14.17453508,12.32317557,10.34107208,9.331707,4.53265381
212,12.15239511,9.253841235,9.21458435,0.10444641,1.49698639
213,8.446257463,11.98274087,13.61827621,21.06799088,20.08207855
214,17.69633997,7.613654384,16.97364258,3.99577927,11.99325394
215,5.878874238,10.63783791,3.12127762,15.27780457,17.41920776
216,16.83222442,10.11649832,15.2283194,10.01080536,5.33586334
217,6.369079448,7.990743523,9.97138397,19.7415065,12.45859329
218,2.114048804,5.352169632,3.09977188,18.17412033,11.69811096
219,2.294497632,4.458057079,0.88041107,4.53576843,12.90263931
220,11.14692035,7.500491338,11.98547745,1.04385757,3.71565628
221,13.58540846,11.75826313,6.80060577,24.02643204,19.19468307
222,24.42928627,22.46637236,29.76577211,9.92812181,0.70964647
223,15.22659543,13.73384755,17.30013275,1.94631195,0.5173111
224,7.700316153,14.13973705,24.10626221,1.88264465,0.55361176
